econ1,econ2,amount
113 Payment for goods and services,113.45 Goods and services unattributable to any other items,0.0
113 Payment for goods and services,113.04 Heating,0.0
113 Payment for goods and services,113.35 Hygiene,0.0
113 Payment for goods and services,113.30 IT and PC works,0.0
113 Payment for goods and services,113.31 Legal / attorney services,0.0
113 Payment for goods and services,"113.05 Manuals, teaching aids/materials, teaching and specialty internships for pupils and students, methodological and technical/research literature",0.0
113 Payment for goods and services,113.32 Milk formula for infants,0.0
113 Payment for goods and services,113.02 Natural gases,0.0
113 Payment for goods and services,113.09 Nutrition/food,0.0
113 Payment for goods and services,"113.03 Office supplies, utensils and household goods",0.0
113 Payment for goods and services,113.00 Payment for goods and services,9439960050.560001
113 Payment for goods and services,113.01 Power (electricity),0.0
113 Payment for goods and services,113.22 Printing services,0.0
113 Payment for goods and services,113.33 Prosthetics,0.0
113 Payment for goods and services,113.27 Purchase and installation of meters,0.0
113 Payment for goods and services,113.40 Referrals to spa therapy facilities,0.0
113 Payment for goods and services,113.37 Rent of circuits and transmitters,0.0
113 Payment for goods and services,113.19 Rent-out of goods,0.0
113 Payment for goods and services,113.23 Representation costs,0.0
113 Payment for goods and services,113.16 Research and innovation services contracted out by self-finance facilities,0.0
113 Payment for goods and services,113.12 Research papers,0.0
113 Payment for goods and services,113.14 Soft inventory and equipment,0.0
113 Payment for goods and services,113.07 Special equipment and gear/inventory,0.0
113 Payment for goods and services,113.11 Telecommunication and mail services,0.0
113 Payment for goods and services,113.21 Trainings,0.0
113 Payment for goods and services,113.13 Transportation services,0.0
113 Payment for goods and services,"113.20 Use of government and local insignia/symbols, state distinction signs",0.0
113 Payment for goods and services,113.34 Water supply and sewer,0.0
123 Payment of interest by another-tier public administration authorities,123.00 Payment of interest by another-tier public administration authorities,4428379.870000001
122 Payment of interest on external loans,122.00 Payment of interest on external loans,207600304.0
121 Payment of interest on internal loans,121.04 Payment of interest on commercial bank loans,0.0
121 Payment of interest on internal loans,121.03 Payment of interest on government securities loans,0.0
121 Payment of interest on internal loans,121.00 Payment of interest on internal loans,319856781.35
121 Payment of interest on internal loans,121.09 Payment of interest on loans in the form of state securities issued to ensure financial stability,0.0
121 Payment of interest on internal loans,121.05 Payment of interest on other loans,0.0
121 Payment of interest on internal loans,121.06 Payment of interest on the converted government securities loans,0.0
124 Payment on the commitments owed to international finance facilities,124.00 Payment on the commitments owed to international finance facilities,16673467.0
242 Purchase of fixed assets,242.00 Purchase of fixed assets,570157700.8599999
261 Purchase of land,261.00 Purchase of land,287559.0
111 Remuneration of work,111.00 Remuneration of work,6967175246.330012
136 Transfers abroad,136.02 CIS membership fees,0.0
136 Transfers abroad,136.03 Other transfers abroad,0.0
136 Transfers abroad,136.00 Transfers abroad,79799367.28
136 Transfers abroad,136.01 Transfers to international governments and organizations,0.0
131 Transfers for goods and services,131.09 Other transfers for goods and services,0.0
131 Transfers for goods and services,131.00 Transfers for goods and services,699411947.0899997
131 Transfers for goods and services,131.05 Transfers for land development,0.0
131 Transfers for goods and services,131.01 Transfers to cover the price-tariff gap,0.0
131 Transfers for goods and services,131.02 Transfers to recoup the loss incurred following the provision of transport indemnities,0.0
132 Transfers for production purposes,132.09 Other transfers for production purposes,0.0
132 Transfers for production purposes,132.13 Transfers for export promotion,0.0
132 Transfers for production purposes,132.12 Transfers for health care services,0.0
132 Transfers for production purposes,132.01 Transfers for land irrigation,0.0
132 Transfers for production purposes,132.11 Transfers for local public road maintenance and repair works,0.0
132 Transfers for production purposes,132.00 Transfers for production purposes,690872524.06
132 Transfers for production purposes,132.08 Transfers for real estate valuation and revaluation,0.0
132 Transfers for production purposes,132.03 Transfers to support agriculture unattributable to any other items,0.0
132 Transfers for production purposes,132.06 Transfers to support newspaper and magazine editorials,0.0
134 Transfers to financial facilities and other organizations,134.09 Other transfers,0.0
134 Transfers to financial facilities and other organizations,134.00 Transfers to financial facilities and other organizations,123277374.28
134 Transfers to financial facilities and other organizations,134.07 Transfers to insure against agriculture risks,0.0
134 Transfers to financial facilities and other organizations,134.11 Transfers to repay the preferential loans,0.0
134 Transfers to financial facilities and other organizations,134.10 Transfers to subsidize the interest rates on preferential loans,0.0
135 Transfers to population,135.03 Add-ons to the disability pensions,0.0
135 Transfers to population,135.34 Allowances and financial aid for orphan students at state self-sustaining higher education institutions,0.0
135 Transfers to population,135.22 Banking and mail services to deliver payments to population,0.0
135 Transfers to population,135.33 Benefits for temporary work incapacity paid from employer's funds,0.0
135 Transfers to population,135.31 Benefits paid upon cessation of work relations,0.0
135 Transfers to population,135.28 Cash compensation in exchange for spa treatment passes,0.0
135 Transfers to population,135.27 Compensation for the costs incurred when organizing funerals for the war veterans and disabled,0.0
135 Transfers to population,135.04 Compensation for the property of people subjected to repressions and subsequently acquitted,0.0
135 Transfers to population,135.18 Compensation for the transport costs incurred by the disabled,0.0
135 Transfers to population,135.13 Compensation for the travel costs incurred by pupils and students,0.0
135 Transfers to population,135.24 Compensation for travel costs within the CIS member states,0.0
135 Transfers to population,135.01 Lifetime pensions and indemnities,0.0
135 Transfers to population,"135.35 Maternity benefits, child care allowances, and sick child care allowances",0.0
135 Transfers to population,"135.02 Monthly state allocations to the war veterans with disabilities, participants to the WWII and their families",0.0
135 Transfers to population,135.19 Nominative compensations,0.0
135 Transfers to population,135.05 One-off compensations to the family members of acquitted people,0.0
135 Transfers to population,135.20 One-off financial aids granted to population by the central public authorities,0.0
135 Transfers to population,135.21 One-off financial aids granted to population pursuant to the decisions taken by local public administration authorities,0.0
135 Transfers to population,135.25 Other transfers made to population,0.0
135 Transfers to population,135.10 Payment of house rent and utilities,0.0
135 Transfers to population,135.30 Rent compensations,0.0
135 Transfers to population,135.07 Scholarships,0.0
135 Transfers to population,135.11 Support for people affected by natural disasters,0.0
135 Transfers to population,135.08 Transfers for the phased indexation of citizen deposits at the Banca de Economii,0.0
135 Transfers to population,135.00 Transfers to population,12323510036.01
135 Transfers to population,135.16 Transfers to the general education fund and the student social insurance fund,0.0
135 Transfers to population,135.32 Wage for position,0.0
