econ1,econ2,amount
Payment for goods and services,Compensation for accommodation costs,0.0
Payment for goods and services,Compensation for transport costs,0.0
Payment for goods and services,Cross-department security,0.0
Payment for goods and services,Current refurbishment of premises and buildings,0.0
Payment for goods and services,Current repair of equipment and inventory,0.0
Payment for goods and services,Departmental periodicals,0.0
Payment for goods and services,Drugs and consumables,0.0
Payment for goods and services,Educational services to fulfill state staff training orders,0.0
Payment for goods and services,Fines,0.0
Payment for goods and services,Fodder,0.0
Payment for goods and services,Fuel,0.0
Payment for goods and services,Goods and services unattributable to any other items,0.0
Payment for goods and services,Heating,0.0
Payment for goods and services,Hygiene,0.0
Payment for goods and services,IT and PC works,0.0
Payment for goods and services,Legal / attorney services,0.0
Payment for goods and services,"Manuals, teaching aids/materials, teaching and specialty internships for pupils and students, methodological and technical/research literature",0.0
Payment for goods and services,Milk formula for infants,0.0
Payment for goods and services,Natural gases,0.0
Payment for goods and services,Nutrition/food,0.0
Payment for goods and services,"Office supplies, utensils and household goods",0.0
Payment for goods and services,Payment for goods and services,9487077365.0
Payment for goods and services,Power (electricity),0.0
Payment for goods and services,Printing services,0.0
Payment for goods and services,Prosthetics,0.0
Payment for goods and services,Purchase and installation of meters,0.0
Payment for goods and services,Referrals to spa therapy facilities,0.0
Payment for goods and services,Rent of circuits and transmitters,0.0
Payment for goods and services,Rent-out of goods,0.0
Payment for goods and services,Representation costs,0.0
Payment for goods and services,Research and innovation services contracted out by self-finance facilities,0.0
Payment for goods and services,Research papers,0.0
Payment for goods and services,Soft inventory and equipment,0.0
Payment for goods and services,Special equipment and gear/inventory,0.0
Payment for goods and services,Telecommunication and mail services,0.0
Payment for goods and services,Trainings,0.0
Payment for goods and services,Transportation services,0.0
Payment for goods and services,"Use of government and local insignia/symbols, state distinction signs",0.0
Payment for goods and services,Water supply and sewer,0.0
Payment of interest by another-tier public administration authorities,Payment of interest by another-tier public administration authorities,4628500.0
Payment of interest on external loans,Payment of interest on external loans,217967400.0
Payment of interest on internal loans,Payment of interest on commercial bank loans,0.0
Payment of interest on internal loans,Payment of interest on government securities loans,0.0
Payment of interest on internal loans,Payment of interest on internal loans,456726200.0
Payment of interest on internal loans,Payment of interest on loans in the form of state securities issued to ensure financial stability,0.0
Payment of interest on internal loans,Payment of interest on other loans,0.0
Payment of interest on internal loans,Payment of interest on the converted government securities loans,0.0
Payment on the commitments owed to international finance facilities,Payment on the commitments owed to international finance facilities,22921000.0
Purchase of fixed assets,Purchase of fixed assets,303737865.0
Purchase of land,Purchase of land,150000.0
Remuneration of work,Remuneration of work,7111917656.0
Transfers abroad,CIS membership fees,0.0
Transfers abroad,Other transfers abroad,0.0
Transfers abroad,Transfers abroad,68708100.0
Transfers abroad,Transfers to international governments and organizations,0.0
Transfers for goods and services,Other transfers for goods and services,0.0
Transfers for goods and services,Transfers for goods and services,586908930.0
Transfers for goods and services,Transfers for land development,0.0
Transfers for goods and services,Transfers to cover the price-tariff gap,0.0
Transfers for goods and services,Transfers to recoup the loss incurred following the provision of transport indemnities,0.0
Transfers for production purposes,Other transfers for production purposes,0.0
Transfers for production purposes,Transfers for export promotion,0.0
Transfers for production purposes,Transfers for health care services,0.0
Transfers for production purposes,Transfers for land irrigation,0.0
Transfers for production purposes,Transfers for local public road maintenance and repair works,0.0
Transfers for production purposes,Transfers for production purposes,628596200.0
Transfers for production purposes,Transfers for real estate valuation and revaluation,0.0
Transfers for production purposes,Transfers to support agriculture unattributable to any other items,0.0
Transfers for production purposes,Transfers to support newspaper and magazine editorials,0.0
Transfers to financial facilities and other organizations,Other transfers,0.0
Transfers to financial facilities and other organizations,Transfers to financial facilities and other organizations,222862136.0
Transfers to financial facilities and other organizations,Transfers to insure against agriculture risks,0.0
Transfers to financial facilities and other organizations,Transfers to repay the preferential loans,0.0
Transfers to financial facilities and other organizations,Transfers to subsidize the interest rates on preferential loans,0.0
Transfers to population,Add-ons to the disability pensions,0.0
Transfers to population,Allowances and financial aid for orphan students at state self-sustaining higher education institutions,0.0
Transfers to population,Banking and mail services to deliver payments to population,0.0
Transfers to population,Benefits for temporary work incapacity paid from employer's funds,0.0
Transfers to population,Benefits paid upon cessation of work relations,0.0
Transfers to population,Cash compensation in exchange for spa treatment passes,0.0
Transfers to population,Compensation for the costs incurred when organizing funerals for the war veterans and disabled,0.0
Transfers to population,Compensation for the property of people subjected to repressions and subsequently acquitted,0.0
Transfers to population,Compensation for the transport costs incurred by the disabled,0.0
Transfers to population,Compensation for the travel costs incurred by pupils and students,0.0
Transfers to population,Compensation for travel costs within the CIS member states,0.0
Transfers to population,Lifetime pensions and indemnities,0.0
Transfers to population,"Maternity benefits, child care allowances, and sick child care allowances",0.0
Transfers to population,"Monthly state allocations to the war veterans with disabilities, participants to the WWII and their families",0.0
Transfers to population,Nominative compensations,0.0
Transfers to population,One-off compensations to the family members of acquitted people,0.0
Transfers to population,One-off financial aids granted to population by the central public authorities,0.0
Transfers to population,One-off financial aids granted to population pursuant to the decisions taken by local public administration authorities,0.0
Transfers to population,Other transfers made to population,0.0
Transfers to population,Payment of house rent and utilities,0.0
Transfers to population,Rent compensations,0.0
Transfers to population,Scholarships,0.0
Transfers to population,Support for people affected by natural disasters,0.0
Transfers to population,Transfers for the phased indexation of citizen deposits at the Banca de Economii,0.0
Transfers to population,Transfers to population,12317185813.0
Transfers to population,Transfers to the general education fund and the student social insurance fund,0.0
Transfers to population,Wage for position,0.0
